Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1751,0,0,0,unknown,mdfA,MdfA efflux pump,MdfA efflux pump,efflux pump conferring antibiotic resistance,9079913,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1351,0,0,0,unknown,emrAB-tolC,EmrA efflux pump component,EmrA efflux pump component,efflux pump conferring antibiotic resistance,1409590,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4799,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1163,0,0,NP_417544.5,Escherichia coli,patA,PatA aminotransferase,,efflux pump conferring antibiotic resistance,0,99,99,94,1.00E-252
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2935,0,0,CDJ72593,Escherichia coli,glpT,GlpT transporter,,fosfomycin resistance gene,0,100,100,96,1.00E-265
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.3232,0,0,0,unknown,katG,KatG catalase-peroxidase,KatG catalase-peroxidase,antibiotic activation enzyme,14638486,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1126,0,0,NP_462096.1,Salmonella enterica,parE,DNA topoisomerase IV subunit B,,fluoroquinolone resistance gene,0,100,100,99,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1352,0,0,AAC75733.1,Escherichia coli,emrB,EmrB efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,95,1.00E-289
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1838,0,0,0,unknown,acrZ,AcrZ efflux pump component,AcrZ efflux pump component,efflux pump conferring antibiotic resistance,23010927,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4752,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4941,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,13,100,100,3.00E-23
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.3458,0,0,0,unknown,sugE,SugE efflux transporter,SugE efflux transporter,efflux pump conferring antibiotic resistance,11948170,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.3932,0,0,0,unknown,fabI,FabI reductase,FabI reductase,antibiotic target in susceptible species,18193820;10869170;8284673,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4096,0,0,0,unknown,alr,Alanine racemase,Alanine racemase,antibiotic target in susceptible species,19748470;24303782,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4031,0,0,0,unknown,mdtL,MdtL efflux pump,MdtL efflux pump,efflux pump conferring antibiotic resistance,11566977,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1255,0,0,0,unknown,murA,MurA transferase,MurA transferase,antibiotic target in susceptible species,8994972,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3282,0,0,YP_492255.1,Escherichia coli,pmrB,PmrB sensor kinase,,unknown,0,97,98,85,1.00E-172
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2947,0,0,0,unknown,gyrA,DNA gyrase subunit A,DNA gyrase subunit A,antibiotic target in susceptible species,9293187,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2548,0,0,NP_459345.2,Salmonella enterica,mdsC,OprM efflux pump component,,efflux pump conferring antibiotic resistance,0,26,99,98,2.00E-65
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2786,0,0,NP_414997.1,Escherichia coli,acrR,AcrR regulator,,efflux pump conferring antibiotic resistance,0,97,96,88,1.00E-102
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4592,0,0,0,unknown,AcrEF-TolC ,AcrF efflux pump component,AcrF efflux pump component,efflux pump conferring antibiotic resistance,1720861,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2326,0,0,YP_490697.1,Escherichia coli,acrD,AcrD efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,94,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1131,0,0,0,unknown,tolC,TolC outer membrane channel,TolC outer membrane channel,efflux pump conferring antibiotic resistance,6219270,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3948,0,0,NP_415791.1,Escherichia coli,cysB,CysB activator,,aminocoumarin resistance gene,0,100,100,95,1.00E-177
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4064,0,0,0,unknown,gidB,GidB methyltransferase,GidB methyltransferase,gene conferring resistance via absence,17238915,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1752,0,0,0,unknown,bcrC,BcrC diphosphatase,BcrC diphosphatase,antibiotic target protection protein,12486040;15778224;15946938,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2457,0,0,0,unknown,marB,MarB regulator,MarB regulator,antibiotic resistance gene cluster,8383113;9068629,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2920,0,0,AAC75314.1,Escherichia coli,pmrF,PmrF transferase,,polymyxin resistance gene,0,98,97,87,1.00E-161
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.3710,0,0,0,unknown,rho,Rho termination factor,Rho termination factor,antibiotic target in susceptible species,8466900,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1907,0,0,NP_415222.1,Escherichia coli,kdpE,KdpE response regulator,,aminoglycoside resistance gene,0,99,99,91,1.00E-116
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.518,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2788,0,0,ABG77966.1,Enterobacter cloacae,acrB,AcrB efflux pump component,,efflux pump conferring antibiotic resistance,0,99,99,93,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4878,0,0,NP_416715.1,Escherichia coli,yojI,YojI siderophore exporter,,efflux pump conferring antibiotic resistance,0,100,100,90,1.00E-291
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2686,0,0,ACH50230.1,Salmonella enterica,ramR,AcrR family regulator,,efflux pump conferring antibiotic resistance,0,100,100,97,1.00E-104
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3256,0,0,NP_458564.1,Salmonella enterica,soxR,SoxR activator,,efflux pump conferring antibiotic resistance,0,100,100,100,9.00E-84
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1743,0,0,NP_415372.1,Escherichia coli,nfsA,NfsA nitroreductase,,nitrofuratoin resistance gene,0,100,100,87,1.00E-124
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2363,0,0,0,unknown,aac(6')-Ic,AAC(6') acetyltransferase,AAC(6') acetyltransferase,antibiotic inactivation enzyme,11158753;15155202;1354954;2069376;8257129;7810994;8001769;7793874;10188279;10542165;10508008,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2065,0,0,NP_414618.4,Escherichia coli,leuO,LeuO activator,,sulfonamide resistance gene,0,95,95,89,1.00E-157
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1712,0,0,0,unknown,macB,MacB efflux protein,MacB efflux protein,efflux pump conferring antibiotic resistance,11544226,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1117,0,0,NP_462089.1,Salmonella enterica,parC,DNA topoisomerase IV subunit A,,fluoroquinolone resistance gene,0,100,100,99,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3284,0,0,BAE78116.1,Escherichia coli,pmrC,PmrC transferase,,polymyxin resistance gene,0,100,100,82,1.00E-279
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2174,0,0,0,unknown,dxr,Dxr reductoisomerase,Dxr reductoisomerase,antibiotic target in susceptible species,16321944,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.3243,0,0,0,unknown,oxyR,OxyR activator,OxyR activator,regulator modulating antibiotic resistance,25799046,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4752,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,31,100,100,6.00E-66
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2456,0,0,0,unknown,marA,MarA regulator,MarA regulator,antibiotic resistance gene cluster,8383113;9068629,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3177,0,0,NP_312864.1,Escherichia coli,cpxA,CpxA histidine kinase,,efflux pump conferring antibiotic resistance,0,99,99,97,1.00E-259
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.519,0,0,0,unknown,fusA,Elongation factor G,Elongation factor G,antibiotic target in susceptible species,17980694,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2455,0,0,AAC74603.2,Escherichia coli,marR,MarR regulator,,efflux pump conferring antibiotic resistance,0,100,100,92,3.00E-72
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1351,0,0,BAA16547.1,Escherichia coli,emrA,EmrA efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,89,1.00E-198
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.325,0,0,0,unknown,pgsA,PgsA phosphatidyltransferase,PgsA phosphatidyltransferase,cell wall charge modification resistance,22238576,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.129,0,0,AAC75138.1,Escherichia coli,mdtD,MdtD efflux transporter,,efflux pump conferring antibiotic resistance,0,99,99,85,1.00E-235
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4745,0,0,NP_312937.1,Escherichia coli,rpoB,RNA polymerase beta subunit,,rifampin resistance gene,0,100,100,98,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4373,0,0,NP_415632.1,Escherichia coli,mfd,Mfd transcription-repair factor,,fluoroquinolone resistance gene,0,100,100,95,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3986,0,0,NP_309766.1,Escherichia coli,hns,H-NS protein,,efflux pump conferring antibiotic resistance,0,99,99,95,2.00E-67
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4984,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,55,100,99,1.00E-122
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2788,0,0,0,unknown,acrAB-tolC,AcrB efflux pump component,AcrB efflux pump component,efflux pump conferring antibiotic resistance,7651136,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3255,0,0,NP_463130.1,Salmonella enterica,soxS,SoxS regulator,,efflux pump conferring antibiotic resistance,0,100,100,99,7.00E-56
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.521,0,0,0,unknown,rpsL,Ribosomal protein S12,Ribosomal protein S12,antibiotic target in susceptible species,7934937,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.3619,0,0,0,unknown,0,Class B3 beta-lactamase,Class B3 beta-lactamase,antibiotic inactivation enzyme,22985886;16723554;12019096;26666948;18843302;11749954;26482314;22442240;15561856;10858348;18563261,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1350,0,0,0,unknown,emrAB-tolC,EmrR regulator,EmrR regulator,regulator modulating antibiotic resistance,7730261,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4592,0,0,AAC76298.1,Escherichia coli,acrF,AcrF efflux pump component,,efflux pump conferring antibiotic resistance,0,87,98,89,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2363,0,0,AAF03531.1,Salmonella enterica,aac(6')-Iy,AAC(6') acetyltransferase,,aminoglycoside resistance gene,0,100,84,97,4.00E-80
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2947,0,0,NP_461214.1,Salmonella enterica,gyrA,DNA gyrase subunit A,,fluoroquinolone resistance gene,0,100,100,99,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.132,0,0,0,unknown,mdtABC-tolC,MdtA efflux pump component,MdtA efflux pump component,efflux pump conferring antibiotic resistance,12107134,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.258,0,0,AML99881.1,Salmonella enterica,mdtK,YeeO transporter,,efflux pump conferring antibiotic resistance,0,99,93,99,1.00E-273
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2455,0,0,0,unknown,MarR,MarR regulator,MarR regulator,antibiotic resistance gene cluster,7768850;8282690;8383113;9068629,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2517,0,0,0,unknown,ddl,D-Ala-D-Ala ligase,D-Ala-D-Ala ligase,antibiotic target in susceptible species,24303782;24033232,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.779,0,0,0,unknown,ileS,Isoleucyl-tRNA synthetase,Isoleucyl-tRNA synthetase,antibiotic target in susceptible species,7929087,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3286,0,0,NP_418540.1,Escherichia coli,adiY,AdiY regulator,,efflux pump conferring antibiotic resistance,0,98,98,80,1.00E-116
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1241,0,0,0,unknown,folP,Dihydropteroate synthase,Dihydropteroate synthase,antibiotic target in susceptible species,15673783,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1352,0,0,0,unknown,emrAB-tolC,EmrB efflux pump component,EmrB efflux pump component,efflux pump conferring antibiotic resistance,1409590,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2787,0,0,ABG77965.1,Enterobacter cloacae,acrA,AcrA efflux pump component,,efflux pump conferring antibiotic resistance,0,97,97,87,1.00E-190
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4803,0,0,0,unknown,rpsJ,Ribosomal protein S10,Ribosomal protein S10,antibiotic target in susceptible species,26124155,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4799,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,31,100,100,6.00E-66
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4537,0,0,AAC74149.2,Escherichia coli,mdtH,MdtH efflux pump,,efflux pump conferring antibiotic resistance,0,99,99,91,1.00E-216
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1361,0,0,NP_417177.1,Escherichia coli,alaS,Alanyl-tRNA synthetase,,aminocoumarin resistance gene,0,100,100,95,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4393,0,0,0,unknown,kasA,KasA synthase,KasA synthase,antibiotic target in susceptible species,10428945,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.130,0,0,0,unknown,mdtABC-tolC,MdtC efflux pump component,MdtC efflux pump component,efflux pump conferring antibiotic resistance,12107134,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4984,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1751,0,0,AFH35853.1,Escherichia coli,mdfA,MdfA efflux pump,,efflux pump conferring antibiotic resistance,0,99,99,87,1.00E-208
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.1241,0,0,YP_491362.1,Escherichia coli,folP,Dihydropteroate synthase,,sulfonamide resistance gene,0,100,100,91,1.00E-147
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2786,0,0,0,unknown,acrAB-tolC,AcrR regulator,AcrR regulator,regulator modulating antibiotic resistance,0,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2685,0,0,AFK13828.1,Enterobacter cloacae,ramA,RamA activator,,efflux pump conferring antibiotic resistance,0,91,100,85,2.00E-53
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4941,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2548,0,0,0,unknown,oprM,OprM efflux pump component,OprM efflux pump component,efflux pump conferring antibiotic resistance,0,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.127,0,0,YP_490321.1,Escherichia coli,baeR,BaeR response regulator,,efflux pump conferring antibiotic resistance,0,100,100,96,1.00E-130
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.4745,0,0,0,unknown,rpoB,RNA polymerase beta subunit,RNA polymerase beta subunit,antibiotic target in susceptible species,3050121;15047531;16723576,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.132,0,0,AAC75135.2,Escherichia coli,mdtA,MdtA efflux pump component,,efflux pump conferring antibiotic resistance,0,90,91,86,1.00E-182
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2456,0,0,YP_489794.1,Escherichia coli,marA,MarA regulator,,efflux pump conferring antibiotic resistance,0,99,99,95,1.00E-65
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.2919,0,0,AAC75315.1,Escherichia coli,arnA,ArnA transferase,,polymyxin resistance gene,0,99,99,80,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.3178,0,0,NP_312865.1,Escherichia coli,cpxR,CpxR response regulator,,efflux pump conferring antibiotic resistance,0,100,100,96,1.00E-126
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4356,0,0,CDO13981.1,Klebsiella pneumoniae,phoP,PhoP regulator,,polymyxin resistance gene,0,100,99,92,1.00E-114
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.131,0,0,AAC75136.1,Escherichia coli,mdtB,MdtB efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,91,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2081,0,0,0,unknown,ddl,D-Ala-D-Ala ligase,D-Ala-D-Ala ligase,antibiotic target in susceptible species,24303782;24033232,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.1713,0,0,0,unknown,macA,MacA efflux protein,MacA efflux protein,efflux pump conferring antibiotic resistance,11544226,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.4023,0,0,NP_462735.1,Salmonella enterica,gyrB,DNA gyrase subunit B,,fluoroquinolone resistance gene,0,100,100,100,0
BLAT,Antibiotic Resistance,NDARO,ST12,fig|90370.6303.peg.4764,0,0,WP_001580422.1,Salmonella enterica,0,Aminoglycoside nucleotidyltransferase,Aminoglycoside nucleotidyltransferase,unknown,0,100,90,97,1.00E-146
BLAT,Antibiotic Resistance,CARD,ST12,fig|90370.6303.peg.518,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,13,100,100,3.00E-23
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2787,0,0,0,unknown,acrAB-tolC,AcrA efflux pump component,AcrA efflux pump component,efflux pump conferring antibiotic resistance,7651136,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST12,fig|90370.6303.peg.2326,0,0,0,unknown,acrAD-tolC,AcrD efflux pump component,AcrD efflux pump component,efflux pump conferring antibiotic resistance,10692383,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.4677,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.2655,0,0,AAC77293.1,Escherichia coli,mdtM,MdtM efflux pump,,efflux pump conferring antibiotic resistance,0,98,97,86,1.00E-202
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.1447,0,0,0,unknown,emrAB-tolC,EmrR regulator,EmrR regulator,regulator modulating antibiotic resistance,7730261,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.1445,0,0,AAC75733.1,Escherichia coli,emrB,EmrB efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,95,1.00E-289
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.742,0,0,0,unknown,ddl,D-Ala-D-Ala ligase,D-Ala-D-Ala ligase,antibiotic target in susceptible species,24303782;24033232,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.901,0,0,0,unknown,pgsA,PgsA phosphatidyltransferase,PgsA phosphatidyltransferase,cell wall charge modification resistance,22238576,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.3367,0,0,0,unknown,oprM,OprM efflux pump component,OprM efflux pump component,efflux pump conferring antibiotic resistance,0,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.4670,0,0,AAC76298.1,Escherichia coli,acrF,AcrF efflux pump component,,efflux pump conferring antibiotic resistance,0,87,98,89,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.2455,0,0,ABG77965.1,Enterobacter cloacae,acrA,AcrA efflux pump component,,efflux pump conferring antibiotic resistance,0,97,97,87,1.00E-190
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.4677,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,100,100,99,1.00E-230
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.2490,0,0,0,unknown,katG,KatG catalase-peroxidase,KatG catalase-peroxidase,antibiotic activation enzyme,14638486,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.1912,0,0,AAC75314.1,Escherichia coli,pmrF,PmrF transferase,,polymyxin resistance gene,0,98,97,87,1.00E-161
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.1885,0,0,0,unknown,gyrA,DNA gyrase subunit A,DNA gyrase subunit A,antibiotic target in susceptible species,9293187,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.2148,0,0,YP_489794.1,Escherichia coli,marA,MarA regulator,,efflux pump conferring antibiotic resistance,0,99,99,95,1.00E-65
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.1436,0,0,NP_417177.1,Escherichia coli,alaS,Alanyl-tRNA synthetase,,aminocoumarin resistance gene,0,100,100,95,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.4684,0,0,NP_312937.1,Escherichia coli,rpoB,RNA polymerase beta subunit,,rifampin resistance gene,0,100,100,98,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.3893,0,0,0,unknown,gyrB,DNA gyrase subunit B,DNA gyrase subunit B,antibiotic target in susceptible species,21693461;22279180;9293187,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.2454,0,0,0,unknown,acrAB-tolC,AcrR regulator,AcrR regulator,regulator modulating antibiotic resistance,0,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.1542,0,0,0,unknown,mdtABC-tolC,MdtA efflux pump component,MdtA efflux pump component,efflux pump conferring antibiotic resistance,12107134,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.3893,0,0,NP_462735.1,Salmonella enterica,gyrB,DNA gyrase subunit B,,fluoroquinolone resistance gene,0,100,100,100,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.407,0,0,CDJ73208,Escherichia coli,uhpT,UhpT transport protein,,fosfomycin resistance gene,0,99,99,95,1.00E-258
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.555,0,0,NP_415434.1,Escherichia coli,msbA,MsbA export protein,,efflux pump conferring antibiotic resistance,0,100,100,96,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.4445,0,0,NP_463130.1,Salmonella enterica,soxS,SoxS regulator,,efflux pump conferring antibiotic resistance,0,100,100,99,7.00E-56
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.47,0,0,0,unknown,fusA,Elongation factor G,Elongation factor G,antibiotic target in susceptible species,17980694,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.1544,0,0,0,unknown,mdtABC-tolC,MdtC efflux pump component,MdtC efflux pump component,efflux pump conferring antibiotic resistance,12107134,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.3725,0,0,AAC75089.1,Escherichia coli,pmrE,PmrE dehydrogenase,,polymyxin resistance gene,0,100,100,88,1.00E-196
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.4418,0,0,YP_492255.1,Escherichia coli,pmrB,PmrB sensor kinase,,unknown,0,97,98,85,1.00E-172
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.4670,0,0,0,unknown,AcrEF-TolC ,AcrF efflux pump component,AcrF efflux pump component,efflux pump conferring antibiotic resistance,1720861,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST14,fig|90370.6306.peg.596,0,0,0,unknown,macB,MacB efflux protein,MacB efflux protein,efflux pump conferring antibiotic resistance,11544226,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.4669,0,0,AAC76297.1,Escherichia coli,acrE,AcrE efflux pump component,,efflux pump conferring antibiotic resistance,0,34,96,88,2.00E-63
BLAT,Antibiotic Resistance,CARD,ST14,fig|90370.6306.peg.1446,0,0,BAA16547.1,Escherichia coli,emrA,EmrA efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,89,1.00E-198
